A_AC (vdisc=0.5516) X,A_AC (vdisc=0.5516) Y
1,45.81571634083102
1.07977516232771,45.81571634083102
1.165914401179832,45.81571634083102
1.258925411794167,45.81571634083102
1.359356390878526,45.81571634083102
1.467799267622069,45.81571634083101
1.584893192461113,45.81571634083101
1.711328304161781,45.815716340831
1.847849797422291,45.815716340831
1.995262314968879,45.81571634083099
2.154434690031883,45.81571634083097
2.326305067153626,45.81571634083097
2.51188643150958,45.81571634083095
2.712272579332028,45.81571634083095
2.928644564625236,45.81571634083093
3.162277660168379,45.81571634083091
3.414548873833601,45.81571634083088
3.686945064519575,45.81571634083086
3.981071705534972,45.81571634083083
4.298662347082277,45.8157163408308
4.641588833612779,45.81571634083076
5.011872336272723,45.81571634083071
5.411695265464637,45.81571634083065
5.843414133735176,45.81571634083059
6.309573444801932,45.81571634083051
6.812920690579613,45.81571634083043
7.356422544596414,45.81571634083033
7.943282347242815,45.81571634083021
8.576958985908941,45.81571634083007
9.261187281287935,45.81571634082991
10,45.81571634082972
10.7977516232771,45.8157163408295
11.65914401179832,45.81571634082925
12.58925411794167,45.81571634082896
13.59356390878526,45.81571634082862
14.6779926762207,45.81571634082821
15.84893192461113,45.81571634082773
17.11328304161781,45.81571634082719
18.47849797422291,45.81571634082655
19.9526231496888,45.81571634082581
21.54434690031884,45.81571634082493
23.26305067153626,45.81571634082393
25.1188643150958,45.81571634082275
27.12272579332028,45.81571634082136
29.28644564625236,45.81571634081977
31.62277660168379,45.81571634081789
34.14548873833601,45.81571634081571
36.86945064519575,45.81571634081316
39.81071705534972,45.8157163408102
42.98662347082276,45.81571634080674
46.41588833612779,45.81571634080272
50.11872336272722,45.81571634079801
54.11695265464636,45.81571634079253
58.43414133735175,45.81571634078615
63.09573444801932,45.81571634077869
68.12920690579612,45.81571634077001
73.56422544596413,45.81571634075988
79.43282347242814,45.81571634074808
85.76958985908939,45.81571634073431
92.61187281287933,45.81571634071827
99.99999999999997,45.81571634069955
107.9775162327709,45.81571634067773
116.5914401179831,45.8157163406523
125.8925411794167,45.81571634062264
135.9356390878525,45.81571634058807
146.7799267622069,45.81571634054776
158.4893192461113,45.81571633981251
171.132830416178,45.81571633975771
184.784979742229,45.81571633969383
199.5262314968879,45.81571633961934
215.4434690031883,45.81571633953249
232.6305067153625,45.81571633943122
251.1886431509579,45.81571633931316
271.2272579332027,45.81571633917552
292.8644564625235,45.81571633901503
316.2277660168378,45.81571633882792
341.4548873833601,45.81571633860976
368.6945064519575,45.81571633766716
398.1071705534972,45.81571633737062
429.8662347082276,45.81571633702485
464.1588833612778,45.81571633662173
501.1872336272722,45.81571633546348
541.1695265464635,45.81571633457137
584.3414133735174,45.81571633393247
630.957344480193,45.81571633318756
681.292069057961,45.81571633128669
735.6422544596411,45.81571632992997
794.3282347242813,45.81571632806113
857.6958985908939,45.81571632599641
926.1187281287932,45.81571632335918
999.9999999999998,45.81571632045569
1079.775162327709,45.81571631689763
1165.914401179832,45.81571631366585
1258.925411794167,45.81571630897971
1359.356390878525,45.81571630345742
1467.799267622069,45.81571629736147
1584.893192461113,45.81571628956431
1711.32830416178,45.8157162816756
1847.849797422291,45.81571627184532
1995.262314968879,45.81571626026677
2154.434690031883,45.81571624676406
2326.305067153626,45.81571623113214
2511.88643150958,45.81571621313194
2712.272579332028,45.81571619179645
2928.644564625236,45.81571616748896
3162.277660168379,45.81571613845404
3414.548873833601,45.81571610459403
3686.945064519574,45.81571606539388
3981.071705534971,45.8157160195648
4298.662347082276,45.8157159664066
4641.588833612778,45.81571590417564
5011.872336272722,45.81571583205416
5411.695265464637,45.81571574766104
5843.414133735176,45.8157156490142
6309.573444801932,45.81571553460519
6812.920690579613,45.81571540105966
7356.422544596413,45.81571524474051
7943.282347242814,45.81571506301788
8576.958985908941,45.81571485080055
9261.187281287936,45.81571460359613
10000,45.81571432470811
10797.7516232771,45.81571398920533
11659.14401179832,45.81571359730901
12589.25411794167,45.81571314084404
13593.56390878526,45.81571261728238
14677.99267622069,45.81571199585353
15848.93192461113,45.81571127233565
17113.28304161781,45.81571043790669
18478.49797422291,45.81570947298523
19952.6231496888,45.8157083256655
21544.34690031884,45.81570698775657
23263.05067153626,45.8157054475953
25118.8643150958,45.81570363825896
27122.72579332028,45.81570152795429
29286.44564625236,45.81569906504598
31622.77660168379,45.81569620200825
34145.48873833602,45.81569287009761
36869.45064519576,45.81568895231971
39810.71705534973,45.81568441271161
42986.62347082277,45.81567912527197
46415.88833612779,45.81567295423825
50118.72336272723,45.81566576197606
54116.95265464637,45.81565736893715
58434.14133735176,45.81564757599779
63095.73444801932,45.81563615936923
68129.20690579612,45.81562286759121
73564.22544596413,45.81560735695062
79432.82347242815,45.81558927711621
85769.58985908941,45.81556819958922
92611.87281287934,45.8155436232174
100000,45.81551495581294
107977.516232771,45.81548154393498
116591.4401179832,45.81544259735591
125892.5411794167,45.81539717823289
135935.6390878526,45.81534424023678
146779.926762207,45.81528249454385
158489.3192461114,45.81521051598268
171132.8304161781,45.81512660430275
184784.9797422291,45.81502876904967
199526.231496888,45.81491469608314
215443.4690031884,45.81478168794563
232630.5067153626,45.81462664617657
251188.643150958,45.81444588173286
271227.2579332028,45.81423511536962
292864.4564625237,45.81398940417413
316227.766016838,45.81370294888111
341454.8873833602,45.8133689740849
368694.5064519576,45.81297962899936
398107.1705534973,45.81252573104426
429866.2347082277,45.8119965628325
464158.8833612779,45.81137968281628
501187.2336272722,45.81066054930321
541169.5265464636,45.80982225567766
584341.4133735175,45.80884505411936
630957.3444801931,45.8077059738662
681292.0690579611,45.80637825522811
735642.2544596412,45.8048307166788
794328.2347242814,45.80302707010105
857695.898590894,45.80092502555291
926118.7281287933,45.79847542677995
999999.9999999998,45.79562099610735
1079775.162327709,45.79229514653678
1165914.401179831,45.78842044573723
1258925.411794167,45.78390690583648
1359356.390878525,45.77864994551759
1467799.267622069,45.77252817948357
1584893.192461113,45.76540074356297
1711328.304161781,45.75710437117962
1847849.797422291,45.74744992064359
1995262.314968879,45.73621859650527
2154434.690031883,45.72315759383018
2326305.067153626,45.70797525684571
2511886.43150958,45.69033564332446
2712272.579332028,45.6698526588232
2928644.564625236,45.64608357768817
3162277.660168379,45.61852216830686
3414548.873833601,45.58659136486425
3686945.064519574,45.54963590613995
3981071.705534971,45.50691490526633
4298662.347082276,45.45759498756068
4641588.833612778,45.40074418867228
5011872.336272722,45.33532750811906
5411695.265464636,45.2602048653421
5843414.133735174,45.17413198572824
6309573.44480193,45.07576592041952
6812920.690579611,44.96367573708357
7356422.544596411,44.83635977769229
7943282.347242813,44.69227014523496
8576958.985908939,44.52984512827101
9261187.281287933,44.34754925962744
9999999.999999998,44.14392014526186
10797751.62327709,43.91762017795248
11659144.01179831,43.6674900101417
12589254.11794167,43.39259995304876
13593563.90878525,43.09229480965339
14677992.67622069,42.76622754370226
15848931.92461113,42.4143780493281
17113283.04161781,42.03705437138105
18478497.97422291,41.63487580143433
19952623.1496888,41.20873891813826
21544346.90031883,40.75977003574023
23263050.67153626,40.2892680930283
25118864.3150958,39.79864334059667
27122725.79332028,39.28935660730347
29286445.64625237,38.76286353454809
31622776.6016838,38.22056668168766
34145488.73833602,37.6637777507398
36869450.64519576,37.09369019952138
39810717.05534973,36.51136209156985
42986623.47082277,35.91770772342453
46415888.3361278,35.31349620792795
50118723.36272723,34.6993549547307
54116952.65464637,34.07577576458248
58434141.33735177,33.44312174740574
63095734.44801933,32.80163346886093
68129206.90579614,32.15143330242504
73564225.44596414,31.49252746915773
79432823.47242816,30.82480563261453
85769589.85908942,30.14803838857089
92611872.81287935,29.46187312490199
100000000,28.76582901542049
107977516.232771,28.05929195074874
116591440.1179832,27.34151031400951
125892541.1794167,26.61159253994147
135935639.0878526,25.86850744075233
146779926.762207,25.11108825246419
158489319.2461114,24.33804138225398
171132830.4161781,23.5479606410752
184784979.7422291,22.73934759979715
199526231.496888,21.91063832458381
215443469.0031884,21.06023623408941
232630506.7153627,20.18655019382769
251188643.1509581,19.28803623098459
271227257.9332029,18.36324050362616
292864456.4625237,17.41084055332485
316227766.016838,16.42968153883654
341454887.3833602,15.41880416234005
368694506.4519576,14.37746154870597
398107170.5534973,13.3051232501449
429866234.7082278,12.20146588564078
464158883.3612779,11.06635135502539
501187233.6272723,9.899794966596758
541169526.5464637,8.701926936306817
584341413.3735176,7.472951407310808
630957344.4801933,6.213107348667728
681292069.0579613,4.922635436849156
735642254.4596413,3.601754386395926
794328234.7242815,2.250649254222409
857695898.5908941,0.8694731571351947
926118728.1287935,-0.5416373598354673
1000000000,-1.98253427445296
1079775162.32771,-3.453019456934377
1165914401.179832,-4.952798576595004
1258925411.794167,-6.481431405741321
1359356390.878526,-8.038282786250084
1467799267.62207,-9.622478504474934
1584893192.461113,-11.23286979020076
1711328304.161781,-12.86800922884643
1847849797.422291,-14.52613959958637
1995262314.96888,-16.20519578756087
2154434690.031884,-17.9028186425706
2326305067.153626,-19.61637870307767
2511886431.50958,-21.34300717890066
2712272579.332028,-23.07963153485792
2928644564.625237,-24.82301337099342
3162277660.168379,-26.56978692144402
3414548873.833601,-28.31649721801247
3686945064.519575,-30.05963762962666
3981071705.534972,-31.79568695050833
4298662347.082276,-33.52114638325919
4641588833.612779,-35.2325766262347
5011872336.272722,-36.9266348580925
5411695265.464636,-38.60011080264732
5843414133.735175,-40.24996040412869
6309573444.801931,-41.87333510469732
6812920690.579612,-43.46760446432454
7356422544.596412,-45.03037001944394
7943282347.242813,-46.55946889434608
8576958985.908939,-48.05296669849607
9261187281.287933,-49.50914051465069
9999999999.999998,-50.92645407515577
10797751623.27709,-52.30352828893699
11659144011.79832,-53.6391109057305
12589254117.94167,-54.93204916050367
13593563908.78525,-56.1812687140046
14677992676.22069,-57.38576118975043
15848931924.61113,-58.54458129019397
17113283041.6178,-59.65685308815871
18478497974.2229,-60.72178387963311
19952623149.68879,-61.738683155529
21544346900.31883,-62.70698393273726
23263050671.53625,-63.62626389936734
25118864315.09579,-64.49626447987931
27122725793.32027,-65.31690681558138
29286445646.25235,-66.08830453548877
31622776601.68378,-66.81077382219569
34145488738.336,-67.48484149843752
36869450645.19574,-68.11125163785145
39810717055.34971,-68.69097063961821
42986623470.82275,-69.22519000653881
46415888336.12777,-69.71532547575062
50118723362.7272,-70.16301088260273
54116952654.64634,-70.57008530579938
58434141337.35173,-70.93857263256203
63095734448.01929,-71.27065356462711
68129206905.7961,-71.56863105508235
73564225445.9641,-71.83489100806673
79432823472.42812,-72.07186062340277
85769589859.08937,-72.28196694681692
92611872812.8793,-72.46759800558344
100000000000,-72.63106845225018
