dB20(VF("/CSAout")) (multi=1) X,dB20(VF("/CSAout")) (multi=1) Y
1,23.05296466336281
1.07977516232771,23.05296466336281
1.165914401179832,23.05296466336281
1.258925411794167,23.05296466336281
1.359356390878526,23.05296466336281
1.467799267622069,23.05296466336281
1.584893192461113,23.05296466336281
1.711328304161781,23.05296466336281
1.847849797422291,23.05296466336281
1.995262314968879,23.05296466336281
2.154434690031883,23.05296466336281
2.326305067153626,23.05296466336281
2.51188643150958,23.0529646633628
2.712272579332028,23.0529646633628
2.928644564625236,23.0529646633628
3.162277660168379,23.0529646633628
3.414548873833601,23.0529646633628
3.686945064519575,23.0529646633628
3.981071705534972,23.0529646633628
4.298662347082277,23.05296466336279
4.641588833612779,23.05296466336278
5.011872336272723,23.05296466336278
5.411695265464637,23.05296466336278
5.843414133735176,23.05296466336277
6.309573444801932,23.05296466336276
6.812920690579613,23.05296466336275
7.356422544596414,23.05296466336275
7.943282347242815,23.05296466336273
8.576958985908941,23.05296466336272
9.261187281287935,23.0529646633627
10,23.05296466336268
10.7977516232771,23.05296466336265
11.65914401179832,23.05296466336263
12.58925411794167,23.0529646633626
13.59356390878526,23.05296466336256
14.6779926762207,23.05296466336252
15.84893192461113,23.05296466336247
17.11328304161781,23.05296466336242
18.47849797422291,23.05296466336235
19.9526231496888,23.05296466336227
21.54434690031884,23.05296466336218
23.26305067153626,23.05296466336208
25.1188643150958,23.05296466336195
27.12272579332028,23.05296466336181
29.28644564625236,23.05296466336165
31.62277660168379,23.05296466336145
34.14548873833601,23.05296466336123
36.86945064519575,23.05296466336097
39.81071705534972,23.05296466336065
42.98662347082276,23.0529646633603
46.41588833612779,23.05296466335989
50.11872336272722,23.0529646633594
54.11695265464636,23.05296466335883
58.43414133735175,23.05296466335817
63.09573444801932,23.0529646633574
68.12920690579612,23.0529646633565
73.56422544596413,23.05296466335545
79.43282347242814,23.05296466335423
85.76958985908939,23.05296466335281
92.61187281287933,23.05296466335115
99.99999999999997,23.05296466334921
107.9775162327709,23.05296466334696
116.5914401179831,23.05296466334432
125.8925411794167,23.05296466334126
135.9356390878525,23.05296466333768
146.7799267622069,23.0529646633335
158.4893192461113,23.05296466332865
171.132830416178,23.05296466332298
184.784979742229,23.05296466331637
199.5262314968879,23.05296466330866
215.4434690031883,23.05296466329968
232.6305067153625,23.05296466328921
251.1886431509579,23.05296466327698
271.2272579332027,23.05296466326275
292.8644564625235,23.05296466324614
316.2277660168378,23.05296466256786
341.4548873833601,23.05296466254529
368.6945064519575,23.05296466251898
398.1071705534972,23.0529646624883
429.8662347082276,23.05296466245253
464.1588833612778,23.05296466241082
501.1872336272722,23.0529646623622
541.1695265464635,23.0529646623055
584.3414133735174,23.05296466223941
630.957344480193,23.05296466216234
681.292069057961,23.05296466207249
735.6422544596411,23.05296466196774
794.3282347242813,23.05296466184559
857.6958985908939,23.0529646614276
926.1187281287932,23.05296466126157
999.9999999999998,23.05296466106799
1079.775162327709,23.05296466084229
1165.914401179832,23.05296466057915
1258.925411794167,23.05296466027234
1359.356390878525,23.05296465991465
1467.799267622069,23.052964659222
1584.893192461113,23.05296465873575
1711.32830416178,23.05296465816883
1847.849797422291,23.05296465750784
1995.262314968879,23.0529646564616
2154.434690031883,23.05296465556309
2326.305067153626,23.05296465423991
2511.88643150958,23.05296465301851
2712.272579332028,23.05296465131887
2928.644564625236,23.05296464872404
3162.277660168379,23.05296464651267
3414.548873833601,23.05296464198495
3686.945064519574,23.05296463907793
3981.071705534971,23.05296463479981
4298.662347082276,23.05296463067159
4641.588833612778,23.05296462594987
5011.872336272722,23.05296461987729
